Company Name,Location,Datum,Status Rocket,Cost,Status Mission,Country,Year,Rocket,Satellite
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 07, 2020 05:12 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,Starlink V1 L9 & BlackSky
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Aug 06, 2020 04:01 UTC",StatusActive,29.75 ,Success,China,2020,Long March 2D,Gaofen-9 04 & Q-SAT
SpaceX,"Pad A, Boca Chica, Texas, USA","Tue Aug 04, 2020 23:57 UTC",StatusActive,,Success,USA,2020,Starship Prototype,150 Meter Hop
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu Jul 30, 2020 21:25 UTC",StatusActive,65.0 ,Success,Kazakhstan,2020,Proton-M/Briz-M,Ekspress-80 & Ekspress-103
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Jul 30, 2020 11:50 UTC",StatusActive,145.0 ,Success,USA,2020,Atlas V 541,Perseverance
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Jul 25, 2020 03:13 UTC",StatusActive,64.68 ,Success,China,2020,Long March 4B,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Jul 23, 2020 14:26 UTC",StatusActive,48.5 ,Success,Kazakhstan,2020,Soyuz 2.1a,Progress MS-15
CASC,"LC-101, Wenchang Satellite Launch Center, China","Thu Jul 23, 2020 04:41 UTC",StatusActive,,Success,China,2020,Long March 5,Tianwen-1
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Jul 20, 2020 21:30 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,ANASIS-II
JAXA,"LA-Y1, Tanegashima Space Center, Japan","Sun Jul 19, 2020 21:58 UTC",StatusActive,90.0 ,Success,Japan,2020,H-IIA 202,Hope Mars Mission
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Wed Jul 15, 2020 13:46 UTC",StatusActive,46.0 ,Success,USA,2020,Minotaur IV,NROL-129
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Jul 10, 2020 04:17 UTC",StatusActive,28.3 ,Failure,China,2020,Kuaizhou 11,"Jilin-1 02E, CentiSpace-1 S2"
CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Jul 09, 2020 12:11 UTC",StatusActive,29.15 ,Success,China,2020,Long March 3B/E,Apstar-6D
IAI,"Pad 1, Palmachim Airbase, Israel","Mon Jul 06, 2020 01:00 UTC",StatusActive,,Success,Israel,2020,Shavit-2,Ofek-16
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Jul 04, 2020 23:44 UTC",StatusActive,29.75 ,Success,China,2020,Long March 2D,Shiyan-6 02
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sat Jul 04, 2020 21:19 UTC",StatusActive,7.5 ,Failure,New Zealand,2020,Electron/Curie,Pics Or It Didn??¦t Happen
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Jul 03, 2020 03:10 UTC",StatusActive,64.68 ,Success,China,2020,Long March 4B,Gaofen Duomo & BY-02
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Jun 30, 2020 20:10 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,GPS III SV03
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jun 23, 2020 01:43 UTC",StatusActive,29.15 ,Success,China,2020,Long March 3B/E,Beidou-3 G3
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Jun 17, 2020 07:19 UTC",StatusActive,29.75 ,Success,China,2020,Long March 2D,"Gaofen-9 03, Pixing III A & HEAD-5"
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Jun 13, 2020 09:21 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,Starlink V1 L8 & SkySat 16 to 18
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sat Jun 13, 2020 05:12 UTC",StatusActive,7.5 ,Success,New Zealand,2020,Electron/Curie,Don't stop me now!
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Jun 10, 2020 18:31 UTC",StatusActive,30.8 ,Success,China,2020,Long March 2C,Haiyang-1D
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Jun 04, 2020 01:25 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,Starlink V1 L7
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun May 31, 2020 08:53 UTC",StatusActive,29.75 ,Success,China,2020,Long March 2D,Gaofen-9-02 & HEAD-4
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat May 30, 2020 19:22 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,SpaceX Demo-2
CASC,"Xichang Satellite Launch Center, China","Fri May 29, 2020 20:13 UTC",StatusActive,5.3 ,Success,China,2020,Long March 11,XJS-G and XJS-H
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Mon May 25, 2020 19:50 UTC",StatusActive,12.0 ,Failure,USA,2020,LauncherOne,Demo Flight
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri May 22, 2020 07:31 UTC",StatusActive,,Success,Russia,2020,Soyuz 2.1b/Fregat-M,Cosmos 2546
MHI,"LA-Y2, Tanegashima Space Center, Japan","Wed May 20, 2020 17:31 UTC",StatusRetired,112.5 ,Success,Japan,2020,H-IIB,HTV-9
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sun May 17, 2020 13:14 UTC",StatusActive,120.0 ,Success,USA,2020,Atlas V 501,OTV-6 (USSF-7)
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Tue May 12, 2020 01:16 UTC",StatusActive,,Success,China,2020,Kuaizhou 1A,Xingyun-2 01 (Wuhan) & 02
CASC,"LC-101, Wenchang Satellite Launch Center, China","Tue May 05, 2020 10:00 UTC",StatusActive,,Success,China,2020,Long March 5B,Test Flight (New Crew Capsule)
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Apr 25, 2020 01:51 UTC",StatusActive,48.5 ,Success,Kazakhstan,2020,Soyuz 2.1a,Progress MS-14
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Apr 22, 2020 19:30 UTC",StatusActive,50.0 ,Success,USA,2020,Falcon 9 Block 5,Starlink V1 L6
IRGC,"Launch Plateform, Shahrud Missile Test Site","Wed Apr 22, 2020 03:59 UTC",StatusActive,,Success,Shahrud Missile Test Site,2020,Qased,Noor 1
CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Apr 09, 2020 11:46 UTC",StatusActive,29.15 ,Failure,China,2020,Long March 3B/E,Nusantara Dua
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 09, 2020 08:05 UTC",StatusActive,48.5 ,Success,Kazakhstan,2020,Soyuz 2.1a,Soyuz MS-16
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Mar 26, 2020 20:18 UTC",StatusActive,153.0 ,Success,USA,2020,Atlas V 551,AEHF 6
CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Mar 24, 2020 03:43 UTC",StatusActive,30.8 ,Success,China,2020,Long March 2C,Yaogan-30-06
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Mar 21, 2020 17:06 UTC",StatusActive,48.5 ,Success,Kazakhstan,2020,Soyuz 2.1b/Fregat,OneWeb #3
